Beginner	4.3	6.3	7.7	8.2	105	540	12	20	23	28	29	310	1450	28.5	42	60	65	70	90	100	125	140	240	185	230	460	307	355	460	666
Bronze	2.8	4.1	5	5.3	68	350	7.5	13	15	18.5	19	200	950	18.5	27	38.5	41	46	59	65	82	92	155	120	150	300	200	230	300	430
Silver	1.8	2.65	3.2	3.45	44	230	5	8.5	10	12	12.5	130	625	12	17.5	25	26.5	30	38	42	53	60	100	78	98	195	130	150	195	280
Gold	1.45	2.1	2.55	2.75	35	185	4	6.75	8	9.5	10	105	500	9.5	14	20	21	24	30	33	42	48	80	62	78	155	103	120	155	225
Platinum	1.15	1.7	2.05	2.2	27.5	148	3.25	5.4	6.5	7.6	8	83	400	7.6	11	15.5	17	19.5	23.5	26	33	38	63	49	62	125	82	97	125	180
Diamond	1	1.5	1.8	1.9	24	130	2.85	4.7	5.7	6.7	7.05	73	350	6.7	9.5	13.5	15	17	20.5	22.5	29	33	55	43	54	110	72	85	110	155
Master	0.9	1.3	1.6	1.65	21	115	2.5	4.1	5	5.9	6.2	64	305	5.9	8.2	11.5	13.1	15	18.2	20	25.5	29	48	38	47	97	63	74	96	135
Grandmaster	0.8	1.15	1.4	1.45	18.5	100	2.2	3.6	4.4	5.2	5.45	56	270	5.2	7.2	10	11.5	13	16	17.5	22.5	25.5	42	33	41	85	55	65	84	120
Nova	0.7	1	1.25	1.3	16.5	88	1.9	3.2	3.85	4.55	4.8	50	240	4.6	6.3	9	10.4	11.5	14	15.5	20	22.5	37	29	36	75	48	57	74	106
Ascended	0.62	0.85	1.1	1.15	14.5	78	1.7	2.8	3.4	4	4.25	44	215	4.1	5.6	8.1	9.2	10.2	12.5	13.5	17.5	20	32.5	25.5	32	66	42	50	65	93
Aleph	0.55	0.75	0.95	1.0	13	70	1.5	2.5	3.0	3.5	3.7	38	185	3.6	5.0	7.1	8.1	9.0	11	12	15.5	17.2	28	22.5	28	57	38	45	57	81
Gamma	0.45	0.65	0.85	0.9	11.5	62	1.35	2.2	2.65	3.1	3.3	33.5	165	3.2	4.5	6.2	7.2	8	9.7	10.6	13.5	15	25	20	24.5	50	33.5	40	50	72
