4300,6300,7700,8200,105000,540000,12000,20000,23000,28000,29000,310000,1450000,28500,42000,60000,65000,70000,90000,100000,125000,140000,240000,185000,230000,460000,307000,355000,460000,666000
2800,4100,5000,5300,68000,350000,7500,13000,15000,18500,19000,200000,950000,18500,27000,38500,41000,46000,59000,65000,82000,92000,155000,120000,150000,300000,200000,230000,300000,430000
1800,2650,3200,3450,44000,230000,5000,8500,10000,12000,12500,130000,625000,12000,17500,25000,26500,30000,38000,42000,53000,60000,100000,78000,98000,195000,130000,150000,195000,280000
1450,2100,2550,2750,35000,185000,4000,6750,8000,9500,10000,105000,500000,9500,14000,20000,21000,24000,30000,33000,42000,48000,80000,62000,78000,155000,103000,120000,155000,225000
1150,1700,2050,2200,27500,148000,3250,5400,6500,7600,8000,83000,400000,7600,11000,15500,17000,19500,23500,26000,33000,38000,63000,49000,62000,125000,82000,97000,125000,180000
1000,1500,1800,1900,24000,130000,2850,4700,5700,6700,7050,73000,350000,6700,9500,13500,15000,17000,20500,22500,29000,33000,55000,43000,54000,110000,72000,85000,110000,155000
900,1300,1600,1650,21000,115000,2500,4100,5000,5900,6200,64000,305000,5900,8200,11500,13100,15000,18200,20000,25500,29000,48000,38000,47000,97000,63000,74000,96000,135000
800,1150,1400,1450,18500,100000,2200,3600,4400,5200,5450,56000,270000,5200,7200,10000,11500,13000,16000,17500,22500,25500,42000,33000,41000,85000,55000,65000,84000,120000
700,1000,1250,1300,16500,88000,1900,3200,3850,4550,4800,50000,240000,4600,6300,9000,10400,11500,14000,15500,20000,22500,37000,29000,36000,75000,48000,57000,74000,106000
620,850,1100,1150,14500,78000,1700,2800,3400,4000,4250,44000,215000,4100,5600,8100,9200,10200,12500,13500,17500,20000,32500,25500,32000,66000,42000,50000,65000,93000
550,750,950,1000,13000,70000,1500,2500,3000,3500,3700,38000,185000,3600,5000,7100,8100,9000,11000,12000,15500,17200,28000,22500,28000,57000,38000,45000,57000,81000
450,650,850,900,11500,62000,1350,2200,2650,3100,3300,33500,165000,3200,4500,6200,7200,8000,9700,10600,13500,15000,25000,20000,24500,50000,33500,40000,50000,72000
