DPHDMN	0.506	0.717	0.92	0.986	12.782	68.374	1.328	2.39	2.85	3.328	3.46	36.229	178.297	3.121	4.642	6.448	7.472	8.421	9.734	10.974	13.923	15.042	24.473	20.466	27.8	54.573	34.344	41.092	55.277	67.757	250484
DAWIDLUNA	0.568	0.794	0.997	1.083	14.492	71.592	1.608	2.763	3.063	3.631	3.973	41.323	209.68	3.699	5.455	7.292	8.113	9.712	11.683	12.789	17.212	19.118	29.967	24.279	31.068	64.53	38.413	44.258	61.949	83.709	201394
EFF	0.679	0.84	1.101	1.227	13.512	75.92	1.711	2.922	3.452	4.162	4.414	43.895	213.07	3.592	5.023	7.665	9.349	10.49	12.313	12.807	18.097	18.915	31.631	24.247	31.679	64.982	38.855	47.683	60.24	82.656	161068
JZE	0.69	0.993	1.17	1.272	14.534	74.817	1.616	2.825	3.718	4.166	4.202	46.951	215.304	4.033	4.735	8.095	8.801	9.453	11.803	14.167	17.29	20.544	29.778	24.097	31.048	64.57	44.274	52.89	80.196	107.297	138738
SOUP	0.801	1.04	1.24	1.342	19.072	143.727	1.987	3.122	3.558	4.112	4.297	46.468	212.471	4.464	6.268	8.344	8.697	10.74	13.666	13.421	16.895	18.846	31.76	24.991	29.776	65.187	44.384	50.587	71.183	88.446	112510
SQMASEP	0.733	0.898	1.119	1.191	16.134	75.437	1.655	3.007	3.588	3.955	4.22	44.191	212.551	4.042	6.601	8.53	9.124	10.144	13.535	14.865	19.06	21.815	36.958	30.336	35.258	72.964	45.157	53.252	79.136	104.89	111328
BEN1996123	0.736	0.914	1.33	1.391	17.954	97.095	0.953	3.172	4.03	4.661	4.779	51.624	251.052	5.414	6.073	9.795	10.724	11.58	14.342	15.489	20.333	21.61	37.073	30.117	37.412	82.629	45.606	51.92	73.154	95.786	58501
UTOCHKA	0.734	1.009	1.319	1.429	16.752	84.791	2.005	3.685	4.209	4.895	5.558	51.887	297.991	5.078	7.358	9.769	10.555	13.477	16.185	16.957	21.409	25.515	41.452	33.603	44.259	82.972	67.14	120.484	129.583	150.97	22927
GOTTAGITGUD	0.71	1.019	1.318	1.387	16.063	NA	1.848	3.479	4.214	4.987	5.349	57.046	NA	4.906	7.302	12.425	NA	NA	15.712	27.158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16970
QQWREF	0.952	1.321	1.599	1.712	22.958	110.143	2.842	4.521	5.039	5.745	5.948	66.08	342.397	5.899	8.543	11.391	12.005	12.986	18.862	19.401	22.265	25.401	48.323	34.268	37.585	96.874	61.801	64.824	81.869	114.854	13200
PANKUBIX	0.89	1.141	1.525	1.596	20.632	114.937	2.513	4.124	4.517	5.541	5.648	60.088	285.543	5.947	8.198	11.425	12.164	14.106	18.5	18.495	23.832	26.113	46.192	37.253	48.731	98.892	67.88	81.71	101.134	148.554	10100
GWJ	1.162	1.482	1.787	1.883	NA	NA	2.991	4.459	4.875	5.706	5.977	NA	NA	NA	8.45	12.245	12.715	13.522	NA	17.448	23.758	25.592	NA	38.978	45.243	NA	68.361	80.089	NA	152.974	5770
THELEGENDARY08	1.004	1.208	1.62	1.673	18.227	98.498	2.778	4.172	5.376	6.343	6.641	69.484	327.834	6.159	9.814	13.214	14.387	16.675	20.965	19.534	25.999	29.927	54.794	45.085	55.839	105.649	91.227	104.859	128.802	191.538	5680
QUING	1.057	1.375	1.694	1.842	21.752	113.477	3.006	4.837	5.608	6.582	6.659	68.727	343.882	6.182	7.884	12.402	13.877	14.99	19.38	22.317	27.462	31.841	52.755	40.625	53.512	99.182	60.212	74.788	98.723	136.854	5200
OSIPOVALEKSANDER	1.094	1.295	1.703	1.86	NA	NA	2.834	4.434	5.291	5.766	5.952	NA	NA	5.965	9.167	12.725	13.759	NA	22.139	22.703	29.083	30.255	NA	46.045	48.589	NA	88.191	NA	219.71	176.126	3173
